symbol,trade_date,open,close,high,low,pre_close,change,change_percent,volume,amount,turnover_rate,volume_ratio,bid_ratio,bid_diff,buy_volume,sell_volume,total_market_cap,circ_market_cap,main_net_inflow,xlarge_inflow,xlarge_outflow,xlarge_net_inflow,large_inflow,large_outflow,large_net_inflow,mid_inflow,mid_outflow,mid_net_inflow,small_inflow,small_outflow,small_net_inflow,main_net_flow_ratio,xlarge_net_flow_ratio,large_net_flow_ratio,mid_net_flow_ratio,small_net_flow_ratio,total_stocks,trading_stocks,up_stocks,down_stocks,flat_stocks,limit_up_stocks,limit_down_stocks,pe,pb,median_pe,median_pb,leader_up_symbol,leader_up_change,leader_down_symbol,leader_down_change,data_source,created_at
BK0470,2026-09-01T00:00:00Z,992129,1004484,1005452,991455,992509,11975,1.21,12954989,7385015528,4.01,1.41,0.00,0,6569854,6385135,257048756000,226460677000,304027344,953290144,581607392,371682752,1421156960,1488812368,-67655408,2149645216,2395841088,-246195872,2696007024,2743844096,-47837072,4.12,5.03,-0.92,-3.33,-0.65,0,41,30,10,1,0,0,231.67,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0471,2026-09-01T00:00:00Z,1740819,1747849,1754179,1738387,1738308,9541,0.55,5398710,4453214788,1.99,1.11,0.00,0,2728166,2670544,280469536000,244877808000,-31640096,292159264,311042848,-18883584,863110848,875867360,-12756512,1401365120,1398611712,2753408,1802197104,1767150816,35046288,-0.71,-0.42,-0.29,0.06,0.79,0,27,15,10,2,0,0,38.33,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0473,2026-09-01T00:00:00Z,14331440,14568445,14602670,14294257,14401852,166593,1.16,31167957,33374577821,1.17,1.07,0.00,0,17091253,14076705,3634342768000,3074280528000,1222006528,5789327104,4612182016,1177145088,8380475648,8335614208,44861440,9684637952,10197958912,-513320960,8950949632,9659635712,-708686080,3.66,3.53,0.13,-1.54,-2.12,0,49,42,4,3,0,0,12.93,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0474,2026-09-01T00:00:00Z,136602,141309,142139,136158,136975,4334,3.16,5159272,14900811692,0.68,1.99,0.00,0,3004928,2154344,3000410944000,2059058144000,1221138688,3142307776,2475239632,667068144,4810254848,4256184304,554070544,3778650176,4432691200,-654041024,2994775520,3561873120,-567097600,8.20,4.48,3.72,-4.39,-3.81,0,5,5,0,0,0,0,5.32,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0475,2026-09-01T00:00:00Z,429033,439169,439399,428727,429941,9228,2.15,58243261,43088487035,0.44,1.43,0.00,0,35789740,22453521,16311689728000,10659731200000,540546560,8996529920,8054117888,942412032,10603991296,11005856768,-401865472,12306182144,12232939520,73242624,10632527872,11246317312,-613789440,1.25,2.19,-0.93,0.17,-1.42,0,42,41,1,0,0,0,7.39,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0476,2026-09-01T00:00:00Z,1587415,1591867,1599333,1583832,1587756,4111,0.26,4387216,5033829998,2.06,1.18,0.00,0,2110608,2276608,237749856000,212409671000,-20485153,267428079,291561056,-24132977,1173414976,1169767152,3647824,1609443600,1575073680,34369920,1870017920,1874312016,-4294096,-0.41,-0.48,0.07,0.68,-0.09,0,38,23,14,1,0,0,95.78,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0477,2026-09-01T00:00:00Z,3910129,3999258,4022675,3907220,3913007,86251,2.20,3704536,14632170973,1.22,1.39,0.00,0,2051004,1653532,2650722880000,2600442656000,832279184,1916393200,1542003904,374389296,4033934848,3576044960,457889888,5300007936,5515005952,-214998016,3167828848,3785110096,-617281248,5.69,2.56,3.13,-1.47,-4.22,0,38,34,2,2,0,0,20.43,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0478,2026-09-01T00:00:00Z,2867394,2831658,2874241,2827172,2861308,-29650,-1.04,52464229,110521791276,2.31,0.77,0.00,0,24528799,27935430,5765738752000,4634265344000,-5369080320,11600192512,14402249216,-2802056704,24508887552,27075911168,-2567023616,34228667648,33284302848,944364800,38146426624,33724364288,4422062336,-4.86,-2.54,-2.32,0.85,4.00,0,145,46,94,5,0,0,18.78,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0479,2026-09-01T00:00:00Z,809223,815380,819380,808813,808805,6575,0.81,18664117,9140525793,0.94,1.03,0.00,0,10306620,8357497,878692720000,787873888000,900384256,1138393248,728616624,409776624,2110555360,1619947728,490607632,2559895792,2360177520,199718272,3132417072,4232519600,-1100102528,9.85,4.48,5.37,2.18,-12.04,0,46,37,7,2,0,0,86.99,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
BK0480,2026-09-01T00:00:00Z,5166901,5191752,5220560,5146221,5174272,17480,0.34,6624191,15779674049,1.62,1.13,0.00,0,3270172,3354020,1303060512000,1028194000000,164440304,1276950208,1168408864,108541344,3653484944,3597585984,55898960,5136535296,5152300288,-15764992,5447239936,5580182272,-132942336,1.04,0.69,0.35,-0.10,-0.84,0,57,28,28,1,0,0,95.14,0.00,0.00,0.00,,0.00,,0.00,EastMoney,2026-09-01T19:17:05+08:00
